spineIndex;xml:id
1;M1.1
2;M1.2,M2.1,M3.1,M4.1,M6.2,M5.2
3;M1.3,M2.2,M3.2,M4.2,M5.3,M6.3
4;M1.4,M2.3,M3.8,M4.9
5;M1.5,M2.4,M4.10,M5.15,M6.15
6;M1.6,M2.5
7;M1.7,M2.6
8;M1.8,M2.7,M3.10,M4.12,M5.16,M6.16
9;M1.9
10;M1.10,M2.8,M4.5,M5.8,M6.8,P1.48,M4.8,M5.11,M5.14,M6.11,M6.14
11;M1.11
12;M1.12
13;M1.13,M2.10,M3.15,M5.18,M6.18
14;M1.14
15;M1.15,M2.12
16;M1.16,M3.17
17;M1.17,M2.14,M3.18,M5.19,M6.19
18;M1.18
19;M1.19
20;M1.20,M3.6,M4.7,M5.10,M6.10
21;M2.9,M5.17,M6.17,M4.14
22;M2.11
23;M2.13
24;M3.3
25;M3.4,M4.4
26;M3.5,M4.6,M5.9,M6.9
27;M3.9
28;M3.11
29;M3.12
30;M3.13
31;M3.14
32;M4.3,P1.17,P2.20,B.20,P1.20,P3.20,P3.59
33;M4.13
34;M4.15
35;M4.17
36;M4.18
37;M4.19
38;M4.21
39;M4.22
40;M5.4,M6.4
41;M5.5
42;M5.6,M6.6,P1.52
43;M5.7,M6.7,P1.49
44;M5.12,M6.12
45;M5.13,M6.13
46;M6.5
47;M6.20
48;P1.1,P2.1,P3.1,B.1
49;P1.2,P2.2,P3.2,B.2
50;P1.3,P2.3,P3.3,B.3
51;P1.4,P2.4,P3.4,B.4
52;P1.5,P2.5,P3.5,B.5
53;P1.6,P2.6,P3.6,B.6
54;P1.7,P2.7,P3.7,B.7
55;P1.8,P2.8,P3.8,B.8
56;P1.9,P2.9,P3.9,B.9
57;P1.10,P2.10,P3.10,B.10
58;P1.11,P2.11,P3.11
59;P1.12,P2.12,P3.12,B.12
60;P1.13,P2.13,P3.13,B.13
61;P1.14
62;P1.15,P2.15,P3.15,B.15
63;P1.16,P2.16,P3.16,B.11,B.16
64;P1.18,P3.18,B.18
65;P1.19,P2.19
66;P1.21,P2.21,P3.21,B.21
67;P1.22,P2.22,P3.22,B.22
68;P1.23,P2.23,P3.23,B.23
69;P1.24,P2.24,P3.24,B.24
70;P1.25,P2.25,P3.25,B.25
71;P1.26,P2.26
72;P1.27,P2.27,P3.27,B.27
73;P1.28,P2.28,P3.28,B.28
74;P1.29
75;P1.31
76;P1.32
77;P1.33
78;P1.34
79;P1.35
80;P1.36
81;P1.37
82;P1.38
83;P1.39
84;P1.40
85;P1.41
86;P1.42
87;P1.43
88;P1.44
89;P1.45
90;P1.46
91;P1.47
92;P1.50
93;P1.51
94;P1.53
95;P1.54
96;P1.55
97;P1.57
98;P1.58
99;P1.59
100;P1.60
101;P1.61
102;P1.62
103;P1.63
104;P1.64
105;P1.65
106;P1.66
107;P1.67
108;P1.68
109;P1.69
110;P1.71
111;P1.72
112;P1.73
113;P3.19,P1.74,B.72,P3.73
114;P1.75
115;P1.76
116;P1.77
117;P1.78
118;P1.79
119;P1.80
120;P1.81
121;P2.14,P3.14,B.14
122;P2.17,P3.17,B.17
123;P2.18
124;P2.31
125;P2.32
126;P2.33
127;P2.34
128;B.31,P2.35,P3.35
129;B.32,P2.36,P3.36
130;B.33,P2.37,P3.37
131;P2.38,B.34,P3.38
132;B.35,P2.39,P3.39
133;B.36,P2.40,P3.40
134;B.37,P2.41,P3.41
135;B.38,P2.42,P3.42
136;B.39,P2.43,P3.43
137;B.40,P2.44,P3.44
138;B.41,P2.45,P3.45
139;B.42,P2.46,P3.46
140;B.43,P2.47,P3.47
141;P2.48
142;B.45,P2.49,P3.49
143;B.46,P2.50,P3.50
144;P2.51
145;B.48,P2.52,P3.52
146;B.49,P2.53,P3.53
147;P2.54
148;B.51,P2.55,P3.55
149;B.44,P2.56,P3.48,P3.51,P3.54,P3.56
150;B.53,P2.57,P3.57
151;P2.58,B.54,P3.58
152;B.56,P2.59
153;B.57,P2.60,P3.60
154;P2.61
155;B.60,P2.62,P3.62
156;B.61,P2.63,P3.63
157;B.62,P2.64,P3.64
158;B.63,P2.65,P3.65
159;B.65,P2.66,P3.66
160;B.66,P2.67,P3.67
161;B.67,P2.68,P3.68
162;P2.73
163;P2.74
164;P2.75
165;P2.76
166;B.75,P2.77,P3.77
167;B.76,P2.78,P3.78
168;B.77,P2.79,P3.79
169;B.78,P2.80,P3.80
170;B.79,P2.81,P3.81
171;B.80,P2.82,P3.82
172;B.81,P2.83,P3.83
173;P3.26,B.26
174;P3.29,B.29
175;P3.31
176;P3.33
177;P3.61
178;P3.74
179;P3.75
180;P3.76
